,Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
,Procurement of Furniture Items,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202281668014,"9,219,200.00",TWINKLE DOTS NIG LTD,Private Organization,,0,2022,COMPLETED,,"Thursday, June 23, 2022","Thursday, November 10, 2022",LAGOS
,"The Replacement of Batteries, Tyres and Servicing of Utility Vehicles",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202221424255,"2,469,275.00",CONSTANCE ALEX SERVICES,Private Organization,,0,2022,COMPLETED,,"Thursday, June 2, 2022","Thursday, November 10, 2022",LAGOS
,Year 2022 Board and Management Retreat,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202208377381,"10,577,500.00",SOUGHTOUT SYNERGY LTD,Private Organization,,0,2022,COMPLETED,,"Wednesday, May 18, 2022","Wednesday, November 9, 2022",Unspecified
,Procurement of ICT Consumables and Accessories,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202210578558,"2,399,507.50",BRIDGESPOT KONCEPT,Private Organization,,0,2022,COMPLETED,,"Monday, May 16, 2022","Wednesday, November 9, 2022",LAGOS
,Maintenance of Hardware Devices and Network Infrastructure,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202270376708,"999,705.00",HESBEE ENTERPRISES LIMITED,Private Organization,,0,2022,COMPLETED,,"Tuesday, May 17, 2022","Wednesday, November 9, 2022",LAGOS
,Engagement of Janitorial Services Framework Agreement,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202222815386,"3,672,000.00",MORE-CONCEPT INTEGRATED SERVICES LTD,Private Organization,,0,2022,ONGOING,,"Wednesday, May 4, 2022","Wednesday, November 9, 2022",LAGOS
,Procurement of Safety Wears and Branded Shirts,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202284678614,"4,265,062.50",TRIPLE MA NIG LIMITED,Private Organization,,0,2022,COMPLETED,,"Wednesday, May 4, 2022","Wednesday, November 9, 2022",LAGOS
,Procurement of Stationary Items,SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202261550038,"7,038,489.30",BRIDGESPOT KONCEPT,Private Organization,,0,2022,COMPLETED,,"Wednesday, April 13, 2022","Wednesday, November 9, 2022",LAGOS
,"Engagement of External Auditor for Year 2020, 2021 and 2022",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202288473701,"4,013,000.00",LEKAN LASISI CO,Private Organization,"25,000,001 to 50,000,000",25,2022,ONGOING,,"Thursday, March 31, 2022","Tuesday, November 8, 2022",LAGOS
,"Construction and Fabrication of 12M High Water Tank tower and external Work in Iloro junior Grammar School and Estate junior Grammar School, Ipaja",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202258225143,"14,363,945.75",DARATISE SERVICES LIMITED,Private Organization,,0,2022,COMPLETED,,"Thursday, February 3, 2022","Tuesday, November 8, 2022","IPAJA, LAGOS"
,"Renovation of 8no Classroom Block and External Works in our Lady of Fatima Nursery and Primary School, Mushin",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202252375340,"47,716,582.93",ASHBURTON GROVE LIMITED,Private Organization,,0,2022,COMPLETED,,"Monday, January 24, 2022","Tuesday, November 8, 2022","MUSHIN, LAGOS"
,"Upward Review for the Construction of L shape 15 classroom Block at Oko-Odo Junior High School, Ebute-Metta",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-11202200331378,"19,063,231.66",ATLANTIC BISCOE NIGERIA LIMITED,Private Organization,,0,2022,COMPLETED,,"Thursday, March 31, 2022","Sunday, November 6, 2022",EBUTE METTA
,Partial Passenger Operation of the Blue Line Rail Project (Marina to Mile 2),LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-11202217470141,"8,253,526,621.60",CCECC NIGERIA LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, September 29, 2022","Sunday, November 6, 2022",MARINA TO MILE 12
,Routine Drainage Maintenance and Flood Control from Ikorodu Roundabout to Mile 12 BRT Terminal,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-11202287132622,"206,430,000.00",DRAIN DUCKS LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, September 15, 2022","Sunday, November 6, 2022","MILE 12, LAGOS"
,Consultancy Services for the Provision of Supplementary Security and Associated Services to all LAMATA Transport Infrastructure and Assets,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-11202253487884,"44,483,850.00",INDEPTH WATCHERS SECURITY SERVICES LTD,Private Organization,"10,000,001 to 25,000,000",35,2022,ONGOING,,"Thursday, September 1, 2022","Sunday, November 6, 2022","IKEJA, LAGOS"
,Renewal of Facility Management of Oyingbo Bus Terminal,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-11202261658654,"186,571,000.00",SEAGOLD ENGINEERING COMPANY LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, September 1, 2022","Sunday, November 6, 2022","OYINGBO, LAGOS"
,Renewal of Facility Management of Ikeja Bus Terminal,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-11202206786711,"191,388,600.00",RELIZENTE NIGERIA LIMITED,Private Organization,"100,000,001 to 200,000,000",43,2022,ONGOING,,"Friday, August 5, 2022","Sunday, November 6, 2022","IKEJA, LAGOS"
,Renewal of Routine Drainage Maintenance and Flood Control along the Oshodi Abule Egba BRT Corridor Including Surrounding Service Roads,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-11202242750815,"213,120,000.00",DRAIN DUCKS LIMITED,Private Organization,,0,2022,ONGOING,,"Tuesday, August 2, 2022","Sunday, November 6, 2022",OSHODI LAGOS
,Facility Management of Ifako-Ijaiye Bus Terminal,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-11202218653650,"191,688,960.00",MARY JOSH INTERNATIONAL RESOURCES LTD*,Private Organization,,0,2022,ONGOING,,"Wednesday, July 27, 2022","Sunday, November 6, 2022",IFAKO-IJAIYE
,Facility Management of Ojota Bus Terminal,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-11202245715074,"236,688,000.00",RODA FIELDS RESOURCE LIMITED,Private Organization,"50,000,001 to 100,000,000",22,2022,ONGOING,,"Wednesday, July 27, 2022","Sunday, November 6, 2022","OJOTA, LAGOS"
,Remedial/ Maintenance Works on BRT Bus Shelters between Mile 12 and Ikorodu,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-11202255081055,"37,499,535.68",MN DEVELOPMENT SOLUTIONS LIMITED,Private Organization,,0,2022,ONGOING,,"Wednesday, June 15, 2022","Sunday, November 6, 2022",MILE 12 TO IKORODU
,Rehabilitation of the Failed Sections of BRT Lane from Ikorodu to Stadium,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-11202284454347,"254,497,365.90",EBUN LINKS ENGINEERING LIMITED,Private Organization,,0,2022,ONGOING,,"Wednesday, June 15, 2022","Sunday, November 6, 2022","IKORODU, LAGOS"
,Replacement of LASEMA s CAT Mechanical Shovel Engine,LASEMA,ocds-5q8fsw-11202244217358,"9,850,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Private Organization,,0,2022,COMPLETED,,"Wednesday, September 14, 2022","Friday, November 4, 2022","IKEJA, LAGOS"
,"Procurement of Flood Rescue Equipment and Accessories for Lasema Response Unit,Onipanu for Flood Response in the State",LASEMA,ocds-5q8fsw-11202270104085,"9,721,500.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Private Organization,,0,2022,COMPLETED,,"Wednesday, September 14, 2022","Friday, November 4, 2022","ONIPANU, LAGOS"
,Procurement of Fuel for LASEMA Operational Activities for the month of June 2022,LASEMA,ocds-5q8fsw-11202217455158,"40,000,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Private Organization,,0,2022,COMPLETED,,"Friday, July 1, 2022","Friday, November 4, 2022","IKEJA, LAGOS"
,Procurement of Fuel for LASEMA Operational Activities for the month of May 2022,LASEMA,ocds-5q8fsw-11202243851277,"40,000,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Private Organization,,0,2022,COMPLETED,,"Wednesday, June 1, 2022","Friday, November 4, 2022","IKEJA, LAGOS"
,Procurement of Fuel for LASEMA Operational Activities for the month of July 2022,LASEMA,ocds-5q8fsw-11202201370201,"40,000,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Private Organization,,0,2022,COMPLETED,,"Monday, May 9, 2022","Friday, November 4, 2022","IKEJA, LAGOS"
,PROCUREMENT of FOUR (4) NOS COMPUTER LAPTOP AND ONE (1) CAMERA FOR THE PUBLIC AFFAIRS UNIT OF LASEMA,LASEMA,ocds-5q8fsw-11202288381886,"3,980,000.00",ADERINOLA OYINDAMOLA BABOYADE -CORE AND COMPANY LTD,Private Organization,,0,2022,COMPLETED,,"Wednesday, May 4, 2022","Friday, November 4, 2022","IKEJA, LAGOS"
,"Maintenance and Upkeep of the ,Lekki for the Month of February 2022.",LASEMA,ocds-5q8fsw-11202261320284,"2,200,000.00",JIKHA CONCEPTS,Private Organization,"10,000,001 to 25,000,000",19,2022,COMPLETED,,"Monday, April 11, 2022","Friday, November 4, 2022","LEKKI, LAGOS"
,"Maintenance and Upkeep of the ,Onipanu for the Month of March 2022.",LASEMA,ocds-5q8fsw-11202206815488,"2,200,000.00",MIRABLISS GLOBAL SERVICES LTD,Private Organization,"5,000,001 to 10,000,000",28,2022,COMPLETED,,"Tuesday, June 28, 2022","Friday, November 4, 2022",ONIPANU
,"Maintenance and Upkeep of Relief Resetlement Camp,Agbowa for the Month of March 2022.",LASEMA,ocds-5q8fsw-11202270272262,"2,200,000.00",XC - WISDOMGATE GLOBAL CONCEPT LIMITED,Private Organization,,0,2022,COMPLETED,,"Friday, June 24, 2022","Friday, November 4, 2022","AGBOWA, LAGOS"
,"Maintenance and Upkeep of Relief Resetlement Camp,Igando for the Month of March 2022.",LASEMA,ocds-5q8fsw-11202272702443,"2,200,000.00",L.B.B.S. LIMITED,Private Organization,"5,000,001 to 10,000,000",16,2022,COMPLETED,,"Friday, June 24, 2022","Friday, November 4, 2022","IGANDO, LAGOS"
,"PROCUREMENT OF CONES, TYRE REAPER AND KEY CLAMPS",CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-11202270804735,"2,481,000.00",G.R.MARTINS NIGERIA ENTERPRISES,Private Organization,,0,2022,ONGOING,,"Tuesday, July 5, 2022","Friday, November 4, 2022","IKEJA, LAGOS"
,PROCUREMENT OF COMPUTER PERIPHERAL DEVICES AND ACCESSORIES,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-11202265577152,"2,495,000.00",MKLAB GLOBAL ENTERPRISES,Private Organization,"50,000,001 to 100,000,000",21,2022,ONGOING,,"Tuesday, July 5, 2022","Friday, November 4, 2022","IKEJA, LAGOS"
,INSTALLATION OF IRON RAILING BARRIERS AT APONGBON SIDE LAGOS ISLAND CBD,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-11202213653631,"45,978,442.85",QUARTER NUTS VENTURES LIMITED,Private Organization,,0,2022,ONGOING,,"Tuesday, May 3, 2022","Friday, November 4, 2022",LAGOS ISLAND
,"REHABILITATION OF CBD LAYBY BEHIND MADAM TINUBU SQUARE, LAGOS ISLAND CBD",CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-11202210483607,"9,496,617.07",QUARTER NUTS VENTURES LIMITED,Private Organization,,0,2022,ONGOING,,"Tuesday, May 3, 2022","Friday, November 4, 2022",LAGOS ISLAND
,PROCUREMENT OF FOUR (4) NO. 600CC MINI POWER BIKE,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-11202221075885,"4,948,504.50",G.R.MARTINS NIGERIA ENTERPRISES,Private Organization,,0,2022,COMPLETED,,"Tuesday, May 24, 2022","Friday, November 4, 2022","IKEJA, LAGOS"
,PROCUREMENT OF OFFICE TOOLS FOR FINANCE ACCOUNT,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-11202237243566,"2,342,540.00",OURKRAFT VENTURES,Private Organization,,0,2022,COMPLETED,,"Tuesday, May 24, 2022","Friday, November 4, 2022","IKEJA, LAGOS"
,CONTINUOUS STRATEGIC ADVOCACY FOR CENTRAL BUSINESS DISTRICTS,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-11202207074033,"2,130,000.00",MKLAB GLOBAL ENTERPRISES,Private Organization,"50,000,001 to 100,000,000",21,2022,COMPLETED,,"Tuesday, May 24, 2022","Friday, November 4, 2022","LAGOS, IKEJA"
,"SUPPLY AND INSTALLATION OF PORTAL CABIN FOR POLICE REST ROOM, STORE AND ACCESSORIES FOR IKEJA CBD",CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-11202284223287,"18,146,000.00",D CREATIVE DEVELOPMENT VENTURES,Private Organization,,0,2022,ONGOING,,"Thursday, April 21, 2022","Friday, November 4, 2022","IKEJA, LAGOS"
,BEAUTIFICATION AND REPLACEMENT OF FLOWERS POTS AND REPLANTING OF FLOWERS WITHIN LAGOS ISLAND CBD,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-11202240050251,"19,519,850.00",TOPDEL ENGINEERING LTD,Private Organization,,0,2022,ONGOING,,"Thursday, April 21, 2022","Friday, November 4, 2022",LAGOS ISLAND
,Second Annual Police Dialogue,YOUTH SOCIAL DEVELOPMENT,ocds-5q8fsw-11202210148788,"37,000,000.00",TEKODA CONSULT,Private Organization,,0,2022,ONGOING,,"Monday, May 30, 2022","Thursday, November 3, 2022","IKEJA, LAGOS"
,Procurement of Lagos State Youth Leadership Initiative (Ibile),YOUTH SOCIAL DEVELOPMENT,ocds-5q8fsw-11202243224275,"18,528,000.00",TEKODA CONSULT,Private Organization,,0,2022,ONGOING,,"Monday, May 30, 2022","Thursday, November 3, 2022","IKEJA, LAGOS"
,RECONSTRUCTION OF HYDRAULIC STRUCTURES FROM TOS BENSON ROAD IPAKODO JUNCTION TO LASG FERRY TERMINAL EBUTE -IPAKODO IKORODU L.G.A.,PUBLIC WORKS CORPORATION,ocds-5q8fsw-11202204734824,"65,975,192.93",MATMOG BROADBAND LIMITED,Private Organization,"50,000,001 to 100,000,000",35,2022,NEW PROJECT,,"Tuesday, October 18, 2022","Thursday, November 3, 2022","IKORODU, LAGOS"
,Impact Assessment on Corporate Planning Process,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202238545206,"1,102,500.00",TK.ADAMS CATERING SERVICE,Private Organization,"5,000,001 to 10,000,000",14,2022,ONGOING,,"Wednesday, September 14, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Stakeholders Engagement on Ease of Doing Business,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202288774715,"2,208,000.00",JAY N EFF EVENT PLANNERS,Private Organization,,0,2022,ONGOING,,"Wednesday, April 13, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,To Cater for Reform Activities,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202217515155,"1,155,000.00",TK.ADAMS CATERING SERVICE,Private Organization,"5,000,001 to 10,000,000",14,2022,COMPLETED,,"Monday, August 22, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Procurement of Cleaning Materials and Protective Outfits,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202218003685,"1,617,700.00",ALPHA LIQUID VENTURES,Private Organization,,0,2022,COMPLETED,,"Monday, August 15, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Procurement of Stationeries for Reforms Department on Development of Corporate Planning Process for MDA s,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202250082171,"1,309,500.00",ALPHA LIQUID VENTURES,Private Organization,,0,2022,COMPLETED,,"Monday, August 22, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,1-Day Sensitization Programme for MDA s and Stakeholder on Saber,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202242625661,"1,686,000.00",JAY N EFF EVENT PLANNERS,Private Organization,,0,2022,COMPLETED,,"Monday, August 15, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Monthly Stake Holders Engagement of Saber,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202254465720,"972,500.00",JAY N EFF EVENT PLANNERS,Private Organization,,0,2022,COMPLETED,,"Monday, August 15, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Request for Funds for Janitorial Service,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202250714732,"749,000.00",MKLAB GLOBAL ENTERPRISES,Private Organization,"50,000,001 to 100,000,000",21,2022,COMPLETED,,"Wednesday, June 29, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Engagement of Catering Service For Management Service Act.,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202282714640,"2,090,000.00",JAY N EFF EVENT PLANNERS,Private Organization,,0,2022,COMPLETED,,"Thursday, June 2, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,YR2022 Service Charter Awareness Programme,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202214751075,"2,073,500.00",JAY N EFF EVENT PLANNERS,Private Organization,,0,2022,COMPLETED,,"Thursday, June 2, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Lagos Service Charter Week,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202272037731,"1,498,000.00",JAY N EFF EVENT PLANNERS,Private Organization,,0,2022,COMPLETED,,"Friday, May 20, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,MDA s Sector Expert Review Programme,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202278135086,"2,202,000.00",TK.ADAMS CATERING SERVICE,Private Organization,"5,000,001 to 10,000,000",14,2022,COMPLETED,,"Friday, June 3, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Engagement for Service Improvement Workshop and Capacity Development,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202233746814,"1,012,000.00",JAY N EFF EVENT PLANNERS,Private Organization,,0,2022,COMPLETED,,"Friday, May 20, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Procurement of Operational and Office Consumable,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202253268736,"1,194,200.00",ALPHA LIQUID VENTURES,Private Organization,,0,2022,COMPLETED,,"Wednesday, May 18, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Public Service Ideas Day,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-11202213455013,"2,378,000.00",JAY N EFF EVENT PLANNERS,Private Organization,,0,2022,COMPLETED,,"Thursday, April 14, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Procurement of Tools for ICT Unit,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-11202225014271,"1,684,000.00",VINTAGE SYSTEMS VENTURES,Private Organization,,0,2022,COMPLETED,,"Monday, September 5, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Procurement of Computer Consumables for Office of Environmental Services,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-11202213275740,"2,393,300.00",VINTAGE SYSTEMS VENTURES,Private Organization,,0,2022,COMPLETED,,"Monday, September 5, 2022","Thursday, November 3, 2022","LAGOS, IKEJA"
,Procurement of Tools for daily upkeep/maintenance of Secretariat Complexes (Old New) and other Government offices within Ikeja Environs,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202200518208,"4,972,200.00",WISEWORTH CONCEPTS,Private Organization,"25,000,001 to 50,000,000",20,2022,COMPLETED,,"Wednesday, August 31, 2022","Monday, October 31, 2022","LAGOS, IKEJA"
,Procurement of Waste Bags for waste sorting activities of the Environmental Services Consultancy Unit,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202275866038,"14,015,160.00",WISEWORTH CONCEPTS,Private Organization,"25,000,001 to 50,000,000",20,2022,COMPLETED,,"Tuesday, August 23, 2022","Monday, October 31, 2022","LAGOS, IKEJA"
,Procurement of Consumable items for Legal Unit,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202210625100,"891,400.00",DI TRADING POST VENTURES,Private Organization,,0,2022,COMPLETED,,"Tuesday, August 23, 2022","Monday, October 31, 2022","LAGOS, IKEJA"
,"Engagement of media Service Provider for provision of Publicity, Speakers/Moderators at 9th Lagos State International Climate Change Summit",OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202274818710,"25,015,000.00",MY SPACE AND ME INTERIOR AND DESIGN,Private Organization,"50,000,001 to 100,000,000",31,2022,COMPLETED,,"Tuesday, August 9, 2022","Monday, October 31, 2022","LAGOS, IKEJA"
