Project Name,Price,Client,State,OCID,Year,Status,Award Date,Location
"Construction and Fabrication of 12M High Water Tank tower and external Work in Ilora junior Grammar School and Estate junior Grammar School, Ipaja","14,363,945.75",DARATISE SERVICES LIMITED,Lagos,ocds-5q8fsw-6202256250884,2022.0,ONGOING,"Thursday, February 3, 2022","IPAJA, LAGOS"
"Renovation of 8no Classroom Block and External Works in our Lady of Fatima Nursery and Primary School, Mushin","47,716,582.93",ASHBURTON GROVE LIMITED,Lagos,ocds-5q8fsw-6202202760083,2022.0,ONGOING,"Monday, January 24, 2022",Mushin
"SUPPLY OF MEDICINES AND MEDICAL CONSUMABLES FOR THE REHABILITATIONAND TRAINING CENTER MAJIDUN, IKORODU FOR JANUARY - JUNE 2021","10,023,750.00",HEALTHLINE GLOBAL SERVICES LIMITED,Lagos,ocds-5q8fsw-6202232654565,2021.0,COMPLETED,"Monday, June 28, 2021","IKORODU, LAGOS"
"Upward Review for the Construction of L shape 15 classroom Block at Oko-Odo Junior High School, Ebute-Metta","19,063,231.66",ATLANTIC BISCOE NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202285157353,2022.0,ONGOING,"Thursday, March 31, 2022",EBUTE-META
"SUPPLY OF DRUGS, CONSUMABLES AND PERSONAL PROTECTIVE EQUIPMENTS FOR 6 MONTHS AT FOLARIN COKER STAFF CLINIC","17,212,590.00",HEALTHLINE GLOBAL SERVICES LIMITED,Lagos,ocds-5q8fsw-6202252072377,2021.0,COMPLETED,"Monday, June 28, 2021","ALAUSA, IKEJA"
"Emergency Renovation of Ewuntuntun Junior Grammar School, Mafoluku, Oshodi","31,613,510.30",QUEVEDO INTERNATIONAL LIMITED,Lagos,ocds-5q8fsw-6202277382036,2021.0,COMPLETED,"Monday, December 13, 2021","MAFOLUKU, OSHODI"
"EMERGENCY RENOVATION OF 6 CLASSROOM BLOCK AT LOCAL AUTHORITY NURSERY AND PRIMARY SCHOOL, OJO (Education District V)","32,870,070.75",PERISCOPE ENGINEERING LIMITED,Lagos,ocds-5q8fsw-6202200382161,2021.0,COMPLETED,"Wednesday, December 1, 2021",OJO
"SUPPLY OF 3,319 CYLINDERS OF OXYGEN GAS TRANSPORTATION AND LOGISTICS FOR THE MAINLAND HOSPITAL AND OXYGEN KIOSKS","39,828,000.00",CARTER BIGGS INVESTMENT LIMITED,Lagos,ocds-5q8fsw-6202203711027,2021.0,ONGOING,"Tuesday, September 28, 2021","MAINLAND ,LAGOS"
"Construction of 15 classroom at ogombo community senior school, Ajah funded by counterpart Contribution between Lagos State Government and COWLSO","393,845,303.08",PECKSGREY NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202217608823,2021.0,COMPLETED,"Wednesday, November 24, 2021",AJAH
Construction of 25M Long Fence on Inverted-T Raft Foundation at Igando Junior Secondary School,"2,921,084.87",HOUSEMASTERS NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202277235765,2021.0,COMPLETED,"Monday, November 22, 2021",IGANDO
SUPPLY TRANSPORTATION AND LOGISTICS FOR THE MAINLAND HOSPITAL AND OXYGEN KIOSKS,"17,496,000.00",CARTER BIGGS INVESTMENT LIMITED,Lagos,ocds-5q8fsw-6202250564122,2021.0,ONGOING,"Tuesday, September 28, 2021","ALAUSA, IKEJA"
"THE DEMOLITION OF 17 1 CLASSROOM BLOCK AT AJUMONI JUNIOR GRAMMAR SCHOOL, OKOTA","2,742,838.25",BASHY BASH NIGERIA ENTERPRISES,Lagos,ocds-5q8fsw-6202220714628,2021.0,COMPLETED,"Thursday, November 11, 2021",OKOTA
"CONSTRUCTION OF 90M LONG COLLAPSE FENCE AT 2ND AVENUE NURSERY AND PRIMARY SCHOOL, FESTAC TOWN","9,489,692.58",BASHY BASH NIGERIA ENTERPRISES,Lagos,ocds-5q8fsw-6202235751603,2021.0,ONGOING,"Thursday, November 11, 2021",FESTAC TOWN
"PROPOSED CONSTRUCTION OF 511.2M AND REMEDIAL WORK ON DILAPIDATED BLOCKWALL OF 340.8M (PAD FOUNDATION), ANSAR-UD-DEEN PRIMARY SCHOOL ALAWAYE, EPE  (Education District III)","71,872,536.78",ONYX-MODU CORPORATE SERVICES LTD,Lagos,ocds-5q8fsw-6202245242503,2021.0,COMPLETED,"Tuesday, November 16, 2021","ALAWAYE, EPE"
"THE PROCUREMENT OF WATER SUPPLY, BOREHOLE AND EXTERNAL WORKS AT MODUPE PRIMARY SCHOOL, FOLA AGORO","4,662,597.50",FJS ENGINEERING GLOBAL LIMITED,Lagos,ocds-5q8fsw-6202203155338,2021.0,ONGOING,"Monday, November 15, 2021",FOLE AGORO
ENGAGEMENT AS A CAPACITY SUPPORT ORGANIZATION (CSO) TO LAGOS STATE UNIVERSAL HEALTH COVERAGE THROUGH PRIMARY HEALTH CENTRE REVITALIZATION PROJECT,"70,300,000.00",6334 BUSINESS SERVICES,Lagos,ocds-5q8fsw-6202268431120,2021.0,COMPLETED,"Monday, March 22, 2021","ALAUSA, IKEJA"
"THE RECONSTRUCTION OF DAMAGED FENCE WALL, COMPLETION OF EXISTING FENCE WALL AND CONSTRUCTION OF SEPTIC TANK AT ABIBATU MOGAJI MILLENIUM SCHOOL","8,131,106.50",GOLDEN DOVE GLOBAL COMPANY,Lagos,ocds-5q8fsw-6202202307617,2021.0,ONGOING,"Monday, November 15, 2021",LAGOS
Procurement  of Spare Parts for Servicing and Maintenance of Mechanical Equipment,"55,293,350.00",LINEWORKS SERVICES LTD,Lagos,ocds-5q8fsw-6202280838401,2021.0,ON-GOING,"Tuesday, October 12, 2021",LAGOS
Re-Construction of Onilegbanle street Eti-Osa Local Government,"240,208,217.48",OFFSET ARCHITECTS AND CONSTRUCTION ENTERPRISES,Lagos,ocds-5q8fsw-6202236032125,2021.0,ON-GOING,"Tuesday, September 28, 2021","ETI-OSA, LAGOS"
Rehabilitation/of Reeve Road Ikoyi Eti-Osa Local Government Area,"453,101,806.19",ASCOTNEBRA INVESTMENT LIMITED,Lagos,ocds-5q8fsw-6202283344218,2021.0,ON-GOING,"Tuesday, September 28, 2021",Eti-Osa
"PROPOSED DEMOLITION OF ABANDONED SCHOOL HALL AND ADMINISTRATIVE BLOCK AT MAFOLUKU JUNIOR GRAMMAR SCHOOL, OSHODI","8,866,461.86",LIZATI PROJECTS COMPANY,Lagos,ocds-5q8fsw-6202252001427,2021.0,ONGOING,"Monday, November 15, 2021",OSHODI
"Emergency Renovation of (i) 6 Classrooms Block and (ii) 6 Classrooms Block at Idata/Ilagbo Community Senior Junior High School, Ibeju Lekki (Education District III)","24,084,888.03",EFFEMMI23 VENTURES,Lagos,ocds-5q8fsw-6202244324071,2021.0,ONGOING,"Tuesday, November 2, 2021",Unspecified
"Emergency Renovation of 17 1 CLASSROOM BLOCK, FENCE WORK AND DRAINAGE WORK AT OLORUNFUNMI SENIOR GRAMMAR SCHOOL, IDIMU, LAGOS (Education District I)","38,950,242.16",TUNSHE PROJECT NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202265128050,2021.0,ONGOING,"Tuesday, November 2, 2021","IDIMU, LAGOS"
"Renovation of 5 Classroom Block at Asarudeen Primary School Odo-Egiri, Epe (Education District III)","19,369,290.88",GANOLA ENGINEERING AND CONSTRUCTION TECHNOLOGY LIMITED,Lagos,ocds-5q8fsw-6202232208668,2021.0,ONGOING,"Tuesday, November 2, 2021","Odo-Egiri, Epe"
"Emergency Renovation of (i) 2 Classroom (ii) 4 Classroom (iii) Computer Room and (iv) Admin Block at Holy Trinity Primary School, Agege (Education District I)","47,280,734.03",KAYZONES INVESTMENT LIMITED,Lagos,ocds-5q8fsw-6202248855704,2021.0,ONGOING,"Tuesday, November 2, 2021",AGEGE
IMPLEMENTATION OF DASHBOARD SOFTWEAR SOLUTION,"17,576,250.00",TERIBITE TECHNOLOGIES LIMITED,Lagos,ocds-5q8fsw-6202220021266,2021.0,ON-GOING,"Wednesday, April 21, 2021","IKEJA, LAGOS"
"Remedial Works on 324.8M Fence and Construction of 487.2M Fence at Local Government Primary School, Alawaye Road, Epe (Education District III)","71,270,911.47",FOLI TRANSPORT ENGINEERING AND SOLUTIONS LTD,Lagos,ocds-5q8fsw-6202272335722,2021.0,ONGOING,"Tuesday, November 2, 2021",EPE
REPLACEMENT OF VOLP/IP PABX SOLUTION AND ALL ACCESSORIES AT PUBLIC WORKS CORPORATION,"4,112,594.73",DIGITAL TECHNOLOGIES NETWORKS LTD.,Lagos,ocds-5q8fsw-6202252685307,2021.0,ON-GOING,"Friday, March 19, 2021","IKEJA, LAGOS"
Rehabilitation/Upgrading of Babajide Sanwo-Olu Road (Dopemu Road) in Agege Local Government Area,"2,738,641,445.31",GELD CONSTRUCTION LTD,Lagos,ocds-5q8fsw-6202248140640,2021.0,ON-GOING,"Monday, August 23, 2021","AGEGE, LAGOS."
PROVISION OF UTILITY CROSS DUCTS ACROSS THE METROPOLIS (LOT 3),"23,218,358.89",INTERWAVES GLOBAL SERVICES LIMITED,Lagos,ocds-5q8fsw-6202274002523,2021.0,COMPLETED,"Thursday, September 23, 2021","IKEJA, LAGOS"
PROVISION OF UTILITY CROSS DUCTS ACROSS THE METROPOLIS (LOT 2),"21,756,788.88",SAGEBRUSH LTD,Lagos,ocds-5q8fsw-6202236432276,2021.0,COMPLETED,"Monday, November 29, 2021","IKEJA, LAGOS"
STRATEGY TO INCREASE REVENUE GENERATION AND UTILITY INFRASTRUCTURE MANAGEMENT THROUGH ENFORCEMENT OF NON-COMPLIANCE TO GOVERNMENT APPROVED SET STANDARD (LOT 3),"43,200,000.00",TUNMEPH GLOBAL LIMITED,Lagos,ocds-5q8fsw-6202223626741,2021.0,COMPLETED,"Tuesday, August 10, 2021","IKEJA, LAGOS"
STRATEGY TO INCREASE REVENUE GENERATION AND UTILITY INFRASTRUCTURE MANAGEMENT THROUGH ENFORCEMENT OF NON-COMPLIANCE TO GOVERNMENT APPROVED SET STANDARD (LOT 1),"43,200,000.00",ADIOS GLOBAL CONCEPT LTD,Lagos,ocds-5q8fsw-6202285852216,2021.0,COMPLETED,"Tuesday, August 10, 2021","IKEJA, LAGOS"
STRATEGY TO INCREASE REVENUE GENERATION AND UTILITY INFRASTRUCTURE MANAGEMENT THROUGH ENFORCEMENT OF NON-COMPLIANCE TO GOVERNMENT APPROVED SET STANDARD (LOT 2),"43,200,000.00",ONYX-MODU CORPORATE SERVICES LTD,Lagos,ocds-5q8fsw-6202271636358,2021.0,COMPLETED,"Tuesday, August 10, 2021","IKEJA, LAGOS"
PRODUCTION AND INSTALLATION OF BRANDED SIGNAGES AND IN-DOOR SIGNS THROUGHOUT THE OFFICES SPACE AND ENTRANCES OF THE HEAD OFFICE AND THE THREE (3) ANNEXES OF THE AGENCY,"9,882,461.72",EMFISAB NIGERIA LTD,Lagos,ocds-5q8fsw-6202233450300,2021.0,COMPLETED,"Thursday, August 19, 2021","IKEJA, LAGOS"
CONSTRUCTION OF THE GATE HOUSE AND PLASTERING OF THE CONSTRUCTED FENCE WALL AT THE BADAGRY STATELITE OFFICE,"4,000,000.00",SAAB INVESTMENT LIMITED,Lagos,ocds-5q8fsw-6202285807228,2021.0,COMPLETED,"Wednesday, March 10, 2021","BADAGRY, LAGOS"
"REINTEGRATION OF THE THREE (3) SATELITE OFFICES OF THE AGENCY (IKORODU, EPE, BADAGRY AND THE HEAD OFFICE","6,500,000.00",SAAB INVESTMENT LIMITED,Lagos,ocds-5q8fsw-6202232654166,2021.0,COMPLETED,"Monday, March 8, 2021","IKORODU, EPE, BADAGRY"
PROCUREMENT OF THREE (3) OPERATIONAL VEHICLES FOR OFFICIAL USE,"45,000,000.00",SYFE RESOURCES LIMITED,Lagos,ocds-5q8fsw-6202207543148,2021.0,COMPLETED,"Wednesday, November 10, 2021","IKEJA, LAGOS"
PURCHASE OF AN HDD THRUST BORING MACHINE,"67,811,506.80",GREENDRIVE RESOURCES LIMITED,Lagos,ocds-5q8fsw-6202236576255,2021.0,COMPLETED,"Thursday, October 21, 2021","IKEJA, LAGOS"
PROCUREMENT OF TOILETRIES FOR THE HEAD OFFICE AND THE THREE (3) ZONAL OFFICES OF THE AGENCY,"314,800.00",LAURYNBANKY INTERNATIONAL COMPANY,Lagos,ocds-5q8fsw-6202265051582,2021.0,COMPLETED,"Wednesday, May 5, 2021","IKEJA, LAGOS"
PROCUREMENT OF OFFICE STATIONERIES FOR THE HEAD OFFICE AND THE THREE (3) ZONAL OFFICES OF THE AGENCY,"437,500.00",LAURYNBANKY INTERNATIONAL COMPANY,Lagos,ocds-5q8fsw-6202215621815,2021.0,COMPLETED,"Wednesday, May 5, 2021","IKEJA, LAGOS"
PROCUREMENT OF ICT EQUIPMENT AND WORK TOOLS FOR THE AGENCY,"8,850,000.00",RYAINNS COGT II LIMITED,Lagos,ocds-5q8fsw-6202266531208,2021.0,COMPLETED,"Friday, April 23, 2021","IKEJA, LAGOS"
"Renovation of 5 Classrooms Block, Admin Block and External Works at Irepodun Primary School, Agege (Education District I)","27,727,457.88",THE GOPHERWOOD CONSULT ENGINEERING CO. LTD,Lagos,ocds-5q8fsw-6202245226638,2021.0,ONGOING,"Tuesday, November 2, 2021",AGEGE
Communication activities for Advocacy Road Rehabilitation and Maintenance and Supply of Information Production Equipment,"20,244,175.00",BNALINKS VENTURES,Lagos,ocds-5q8fsw-6202278703470,2021.0,ONGOING,"Monday, July 5, 2021",LAGOS
"Emergency Renovation of (i) 3 Classroom Block A and (ii) 3 Classroom Block B at Awori Ajeromi Senior Grammar School, Ojo (Education District V)","31,729,431.25",DALKTRUXX GLOBAL NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202251785073,2021.0,ONGOING,"Tuesday, November 2, 2021",OJO
"Renovation of New Padded Fence in Anglican Primary School, Offin, Ikorodu (Education District II)","34,899,412.00",ZONEWARE LIMITED,Lagos,ocds-5q8fsw-6202221603453,2021.0,ONGOING,"Tuesday, November 2, 2021","Offin, Ikorodu"
"Construction of Sleeping Quarters at the Three Asphalt Plants (Ojodu, Imota Badagry) Ojodu Asphalt Main Yard, Mechanical Workshop, Toilets and Store Reservation.","229,124,263.54",TRUSSET FUSSET INTEGRATED SERVICES LIMITED,Lagos,ocds-5q8fsw-6202250174161,2021.0,ON-GOING,"Monday, June 28, 2021",LAGOS
"Construction of a Fence Work (650m Long) Raft Foundation at Agboju Senior Secondary School, Agboju, Ojo (Education District V)","79,485,528.49",JOCHAFIK NIG COMPANY,Lagos,ocds-5q8fsw-6202274760221,2021.0,ONGOING,"Tuesday, November 2, 2021","Agboju, Ojo"
Refurbishment of Dust Control Unit at Ojodu Asphalt Plant.,"16,997,480.75",KEMENG SERVICES LTD,Lagos,ocds-5q8fsw-6202231335771,2021.0,ON-GOING,"Monday, June 21, 2021","OJODU, LAGOS"
Procurement of Engineering Equipment for the Civil Engineering Department.,"17,566,537.50",PAR SAR GRACE VENTURES,Lagos,ocds-5q8fsw-6202248037568,2021.0,ON-GOING,"Friday, June 18, 2021","IKEJA, LAGOS"
Development of Network Infrastructure of Lagos State Public Works Corporation,"15,015,202.25",TERIBITE TECHNOLOGIES LIMITED,Lagos,ocds-5q8fsw-6202202447253,2021.0,ON-GOING,"Tuesday, June 15, 2021","IKEJA, LAGOS"
"Emergency Renovation of New Fence Work 50M Fence with Gate House at Anglican Primary School, Ijede, Ikorodu (Education District II)","16,401,818.95",AOM NOBLE VENTURES,Lagos,ocds-5q8fsw-6202246715786,2021.0,ONGOING,"Tuesday, November 2, 2021","Ijede, Ikorodu"
"Construction of Hon. Idowu Eletu Street, Awoyaya in Ibjeu-Lekki LGA","207,095,646.38",TYNEDALE INVESTMENT LIMITED,Lagos,ocds-5q8fsw-6202261145141,2021.0,ON-GOING,"Friday, June 4, 2021",IBEJU LEKKI
"Emergency Renovation of 5 Classrooms Block at Elepe Community Junior High School, Ikorodu (Education District II)","22,527,695.16",GRANTISH NIGERIA LTD,Lagos,ocds-5q8fsw-6202230428723,2021.0,ONGOING,"Tuesday, November 2, 2021",IKORODU
34 Ward Intervention Road Projects in Lagos Central,"792,606,494.00",ORIGIN ENGINEERING COMPANY LTD,Lagos,ocds-5q8fsw-6202211503818,2021.0,ON-GOING,"Wednesday, May 26, 2021",LAGOS
"Construction of a Block of 12 Classrooms on Pad Foundation at Ilupeju Comprehensive High School, Oshodi (Education District VI)","182,878,507.48",RIO CONSTRUCTION LIMITED,Lagos,ocds-5q8fsw-6202266210526,2021.0,ONGOING,"Tuesday, November 2, 2021",OSHODI
Rehabilitation of Existing Perimeter Fence and the Mechanical Yard of Lagos State Public Works Corporation,"9,727,811.31",INTEGRATED PROJECTS LIMITED,Lagos,ocds-5q8fsw-6202201575108,2021.0,ON-GOING,"Wednesday, May 26, 2021","IKEJA, LAGOS"
Procurement and replacement of Burnt and Vandalized staff and project buses.,"99,975,000.00",STALLION NMN LIMITED,Lagos,ocds-5q8fsw-6202212001388,2021.0,ON-GOING,"Friday, April 9, 2021","IKEJA, LAGOS"
Furnishing and Equipping of the Renovated Auditorium,"9,814,551.66",INTEGRATED PROJECTS LIMITED,Lagos,ocds-5q8fsw-6202276773467,2021.0,ON-GOING,"Monday, March 29, 2021","IKEJA, LAGOS"
"Procurement of Transformer Substation Materials at New Haven, Onimalu Road , Selewu Community in Igbobgo Baiyeku LCDA.","7,408,948.33",DEBBY AND SONS COMPANY,Lagos,ocds-5q8fsw-6202237843881,2021.0,COMPLETED,"Thursday, December 23, 2021","IGBOGBO BAIYEKU, LAGOS"
"Procurement of High Tension , Low Tension Installation Materials and Other Services at New Haven, Onimalu Road, Selewu Community in Igbogbo Baiyeku LCDA.","2,615,421.25",DEBBY AND SONS COMPANY,Lagos,ocds-5q8fsw-6202236010635,2021.0,COMPLETED,"Thursday, December 23, 2021","IGBOGBO BAIYEKU, LAGOS"
"RENOVATION OF BURNT PRINCIPAL OFFICE AT EPE SENIOR GRAMMAR SCHOOL, EPE LGA","36,962,922.01",MICHELAD NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202285280738,2021.0,ONGOING,"Tuesday, November 2, 2021",EPE LGA
Renovation of Ebute Elefun and Tinubu Methodist Oil Mill at Lagos Island (Education District II),"89,432,071.06",YOKSI S ENTERPRISES,Lagos,ocds-5q8fsw-6202236778271,2021.0,ONGOING,"Tuesday, November 2, 2021",Lagos Island
"Remedial Works on 324.8M Fence and Construction of 487.2M Fence at Local Government Primary School, Alawaye Road, Epe (Education District III)","71,270,911.47",FOLI TRANSPORT ENGINEERING AND SOLUTIONS LTD,Lagos,ocds-5q8fsw-6202267843663,2021.0,ONGOING,"Tuesday, November 2, 2021",EPE
RELOCATION MAKING THE NEW BUILDING /SURROUNDING CONDUCIVE FOR STAFF,"16,873,300.00",VERICON BUILDING AND FACILITIES MANAGEMENT LIMITED,Lagos,ocds-5q8fsw-6202208850162,2021.0,COMPLETED,"Thursday, August 5, 2021","IKEJA, LAGOS"
"Proposed Construction of 450M Perimeter Fence on Inverted T-Raft Foundation at Itun Agan Junior Secondary School, Amuwo Odofin (Education District V)","58,436,572.15",TALABI ONILEGBALE AND SONS,Lagos,ocds-5q8fsw-6202226643644,2021.0,ONGOING,"Tuesday, October 5, 2021",Amuwo Odofin
"EMERGENCY RENOVATION OF (I) 4NO CLASSROOM BLOCK WITH STORE (II) DRAINAGE (III) KITCHEN AT GOVERNMENT GIRLS SENIOR COLLEGE, AGEGE (EDUCATION DISTRICT I)","30,174,237.50",ARGO ENERGY NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202253462105,2021.0,ONGOING,"Wednesday, October 20, 2021",AGEGE
Maintenance of Existing Solar Power Infrastructure in the State,"2,500,185.90",ADCON CONSTRUCTION NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202218664325,2021.0,COMPLETED,"Thursday, August 5, 2021",LAGOS
"Renovation of 2nos, 6 Classrooms and External Toilet Block at Local Government Primary School, Egbe (Education District I)","63,450,003.03",T-MOD UTILITY SERVICES LIMITED,Lagos,ocds-5q8fsw-6202210383480,2021.0,ONGOING,"Wednesday, October 27, 2021",EGBE
Maintenance of Existing Solar Power Infrastructure in the State,"29,661,639.49",AQNA RESOURCES LIMITED,Lagos,ocds-5q8fsw-6202237365376,2021.0,ON-GOING,"Thursday, August 5, 2021",LAGOS
"Renovation of 5 Classrooms Block and External Toilet Block at Tokunbo Ali Primary School, Ikeja (Education District VI)","25,297,820.34",MORAF INTERLINK CONCEPT LIMITED,Lagos,ocds-5q8fsw-6202205268186,2021.0,ONGOING,"Wednesday, October 27, 2021",IKEJA
Maintenance of Existing Solar Power Infrastructure in the State,"34,962,210.00",GREENHIVE ENERGY LTD,Lagos,ocds-5q8fsw-6202222613608,2021.0,ON-GOING,"Thursday, August 5, 2021",LAGOS
Maintenance of Existing Solar Power Infrastructure in the State,"116,860,878.06",MANX ENERGY,Lagos,ocds-5q8fsw-6202223740647,2021.0,ON-GOING,"Thursday, August 5, 2021",LAGOS
"EMERGENCY RENOVATION OF 6NO CLASSROOM BLOCK 2NO CLASSROOM WITH OFFICE AT ELEPE COMMUNITY SENIOR HIGH SCHOOL, IKORODU","46,488,704.49",FOLI TRANSPORT ENGINEERING AND SOLUTIONS LTD,Lagos,ocds-5q8fsw-6202276818785,2021.0,ONGOING,"Wednesday, October 20, 2021",IKORODU
Relocation of Underground 3x150mm XLPE IPP Distribution Cable and Decommissioning of the Streetlight Poles On Lagos-Ibadan Expressway.,"12,697,500.00",GREENHIVE ENERGY LTD,Lagos,ocds-5q8fsw-6202257338548,2021.0,COMPLETED,"Thursday, August 5, 2021",LAGOS-IBADAN EXPRESSWAY
"Renovation of 2no, 6 Classroom Block and Security House at Araomi Nursery School, Palm Avenue, Mushin (Education District VI)","44,047,782.08",STRUCTIAL CONSTRUCTION NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202278822148,2021.0,ONGOING,"Wednesday, October 27, 2021","Palm Avenue, Mushin"
Procurement of Wowbii Interactive Smart Screen,"11,448,750.00",MAGIC FINGERS TECHNOLOGIES LIMITED,Lagos,ocds-5q8fsw-6202271103261,2021.0,COMPLETED,"Thursday, August 5, 2021",LAGOS
Procurement of IT Solutions at SCRPS Office,"10,152,472.00",BRIDGESPOT KONCEPT,Lagos,ocds-5q8fsw-6202231858505,2021.0,ONGOING,"Tuesday, October 26, 2021",LAGOS
"Renovation of Administrative block at Odo-obara Senior Secondary School, Epe LGA","39,127,344.00",ORIYOMMY NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202271684260,2021.0,ONGOING,"Monday, October 18, 2021",EPE LGA
"Emergency Renovation of Remedial Work on 12 classrooms block at Langbasa primary school, ado Village, Eti-Osa (education Distruct III)","30,020,576.85",EFFEMMI23 VENTURES,Lagos,ocds-5q8fsw-6202247260538,2021.0,ONGOING,"Wednesday, October 20, 2021",ETI-OSA
Procurement of containerized store and External Office Works in SCRPS OFFICE,"3,702,000.50",COMAGRICS GLOBAL SERVICES,Lagos,ocds-5q8fsw-6202252168215,2021.0,ONGOING,"Wednesday, October 20, 2021",LAGOS
"Emergency Construction of 80M Long Fence with Gate House at Salvation Army Ibiye, Badagry (Education District V)","10,639,977.50",WECLAT NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202258537740,2021.0,ONGOING,"Wednesday, October 20, 2021","Ibiye, Badagry"
Replacement of Vandalized High Voltage Distribution Cable from Anthony to Trem bridge.,"97,332,112.50",MANX ENERGY,Lagos,ocds-5q8fsw-6202200272362,2021.0,COMPLETED,"Thursday, August 5, 2021","Anthony, Lagos"
"Emergency Renovation of Remedial Work of 17 1 Classrooms Block at Birrel Avenue Senior High School, Yaba (Educatin District IV)","24,724,510.20",VISION INTEGRATED TECHNOLOGY AND ENGINEERING LIMITED,Lagos,ocds-5q8fsw-6202285242664,2021.0,ONGOING,"Wednesday, October 20, 2021",YABA
"Emergency Renovation of (i) 6 Classroom (ii) Admin Block and (iii) Other External Works at All Saints Primary School, Iju (Education District I)","30,214,089.82",QUILLION LIMITED,Lagos,ocds-5q8fsw-6202257040481,2021.0,ONGOING,"Wednesday, October 20, 2021",IJU
"EMERGENCY RENOVATION OF REMEDIAL WORKS ON THE 17 CLASSROOM BLOCK WITH 5 OFFICES AND TOILET AT FADEYI/LAGOS MAINLAND LOCAL COMMUNITY PRIMARY SCHOOL, FADEYI, YABA, LAGOS (Education District IV)","57,594,123.68",DOTONI INTEGRATED SERVICES,Lagos,ocds-5q8fsw-6202248381603,2021.0,ONGOING,"Wednesday, October 20, 2021","fadeyi, yaba"
"Procurement of Laptops, Mandatory e-Procurement Platform Other IT Infrastructure Deficit.","4,517,000.00",S H TECHNOLOGIES,Lagos,ocds-5q8fsw-6202258810241,2021.0,COMPLETED,"Thursday, August 5, 2021","IKEJA, LAGOS"
"Emergency Renovation of (i) 6 Classroom Block (ii) 6no. Classroom Block/Admin Office (iii) Security House and (iv) External Works at Alimosho Junior Grammar School, Idimu, Alimosho (Education District I)","44,540,588.95",ACURIST SERVICES LIMITED,Lagos,ocds-5q8fsw-6202203865744,2021.0,COMPLETED,"Wednesday, October 20, 2021","Idimu, Alimosho"
Procurement of IT Consumables Acessories,"25,268,197.50",QISTA TECHNOLOGIES,Lagos,ocds-5q8fsw-6202200782528,2021.0,COMPLETED,"Wednesday, October 20, 2021",LAGOS
"Emergency Rehabilitation of 350M Fence with Construction of Gate House at Local Authority Nursery and Primary School, Badagry (Education District V)","20,706,351.80",FJS ENGINEERING GLOBAL LIMITED,Lagos,ocds-5q8fsw-6202230108565,2021.0,ONGOING,"Wednesday, October 20, 2021",BADAGRY
"Emergency Renovation of 18 Classrooms Block at Ireti Senior Grammar School,  Ikoyi (Education District III)","20,531,688.38",BLUE HEMISPHERE MULTIGLOBAL NIGERIA LIMITED,Lagos,ocds-5q8fsw-6202265356587,2021.0,ONGOING,"Wednesday, October 20, 2021",IKOYI
"Emergency Renovation of (i) Fence Work and (ii) 10 Cubicle Toilet Construction at Anglican Primary School, Akanun Lasugbo, Ikorodu (Education District II)","50,059,138.67",GOLDHAWK PROPERTY DEVELOPMENT COMPANY LIMITED,Lagos,ocds-5q8fsw-6202205502716,2021.0,ONGOING,"Wednesday, October 20, 2021","Akanun Lasugbo, Ikorodu"
"Emergency CONSTRUCTION OF PERIMETER FENCE ON RAFT FOUNDATION AT EJIGBO SENIOR HIGH SCHOOL, EJIGBO (EDUCATION DISTRICT VI)","10,273,654.60",KINGSHOLM LIMITED,Lagos,ocds-5q8fsw-6202246568551,2021.0,ONGOING,"Wednesday, October 20, 2021",EJIGBO
"Supply of Computers, Laptops and Other Peripherals","10,630,625.00",ULTRA ACE INTERNATIONAL LIMITED,Lagos,ocds-5q8fsw-6202237840182,2022.0,COMPLETED,Not Available,"ALAUSA, LAGOS"
Supply of Fourth Quarter 2021 ICT Accessories,"2,408,500.00",TRIPLE A INTERNATIONAL COMPANY LIMITED,Lagos,ocds-5q8fsw-6202287375331,2021.0,COMPLETED,"Thursday, October 14, 2021","ALAUSA, LAGOS"
Supply of Third Quarter 2021 ICT Accessories,"2,460,677.00",TRIPLE A INTERNATIONAL COMPANY LIMITED,Lagos,ocds-5q8fsw-6202271344618,2021.0,COMPLETED,"Thursday, October 14, 2021","ALAUSA, LAGOS"
Supply of Office Furniture,"5,814,910.00",CRATIV FURNISHING,Lagos,ocds-5q8fsw-6202224368311,2021.0,COMPLETED,"Monday, October 18, 2021","ALAUSA, LAGOS"
Supply of 20 Units of Kojak 4-4-2 Finger Print Scanner,"10,696,250.00",IDENTIKO INTEGRATED SOLUTION LIMITED,Lagos,ocds-5q8fsw-6202233645775,2021.0,COMPLETED,"Monday, October 4, 2021","ALAUSA, LAGOS"
